team,games,avg_opp_elo,league_avg_opp_elo,plus_minus_vs_avg,sos_index,rank,conference,division
Jaguars,17,1213.6279721764706,1200.49611021875,13.13186195772073,128.2381104347804,1,AFC,AFC South
Saints,17,1210.464705882353,1200.49611021875,9.968595663603082,121.435978091667,2,NFC,NFC South
Raiders,17,1209.7088855294116,1200.49611021875,9.212775310661755,119.81069915834226,3,AFC,AFC West
Giants,17,1207.8279721764707,1200.49611021875,7.3318619577207755,115.76607554368624,4,NFC,NFC East
Bengals,17,1207.6985604117647,1200.49611021875,7.2024501930147835,115.48779484631879,5,AFC,AFC North
Panthers,17,1207.5764705882352,1200.49611021875,7.080360369485334,115.22525889133485,6,NFC,NFC South
Browns,17,1206.9220898235294,1200.49611021875,6.4259796047795135,113.81811066211554,7,AFC,AFC North
Broncos,17,1206.0117647058823,1200.49611021875,5.515654487132451,111.8605922777132,8,AFC,AFC West
Steelers,17,1205.4867957058825,1200.49611021875,4.990685487132623,110.73172474586136,9,AFC,AFC North
Chiefs,17,1205.2206502352942,1200.49611021875,4.724540016544324,110.15941860874342,10,AFC,AFC West
Bills,17,1204.9470588235292,1200.49611021875,4.450948604779342,109.57110108573711,11,AFC,AFC East
Patriots,17,1204.3985604117647,1200.49611021875,3.902450193014829,108.39163706345491,12,AFC,AFC East
Titans,17,1204.1176470588234,1200.49611021875,3.6215368400735315,107.78757479806558,13,AFC,AFC South
Texans,17,1203.8529411764705,1200.49611021875,3.3568309577206037,107.21836428072358,14,AFC,AFC South
Jets,17,1202.8764705882354,1200.49611021875,2.3803603694855155,105.11860992786231,15,AFC,AFC East
Chargers,17,1201.8794737647058,1200.49611021875,1.3833635459559446,102.97471696762594,16,AFC,AFC West
Dolphins,17,1201.429411764706,1200.49611021875,0.9333015459560556,102.00692576639244,17,AFC,AFC East
Falcons,17,1201.4235294117648,1200.49611021875,0.9274191930148845,101.99427664378484,18,NFC,NFC South
Cowboys,17,1199.0764705882352,1200.49611021875,-1.4196396305146664,96.94727672335188,19,NFC,NFC East
Ravens,17,1198.8220898235293,1200.49611021875,-1.674020395220623,96.40026883144914,20,AFC,AFC North
Colts,17,1197.4941176470588,1200.49611021875,-3.001992571691062,93.54466274190746,21,AFC,AFC South
Bears,17,1196.9809133529411,1200.49611021875,-3.5151968658087753,92.4410934552703,22,NFC,NFC North
Cardinals,17,1195.8764705882354,1200.49611021875,-4.6196396305144845,90.06615402481751,23,NFC,NFC West
Commanders,17,1195.2941176470588,1200.49611021875,-5.2019925716911075,88.81389088666472,24,NFC,NFC East
Buccaneers,17,1194.035294117647,1200.49611021875,-6.460816101102864,86.10697864863819,25,NFC,NFC South
Vikings,17,1192.3632662941177,1200.49611021875,-8.132843924632198,82.511532208304,26,NFC,NFC North
Packers,17,1192.0338545294119,1200.49611021875,-8.462255689338008,81.80318134227852,27,NFC,NFC North
Lions,17,1191.9220898235294,1200.49611021875,-8.574020395220487,81.56284801273384,28,NFC,NFC North
49ers,17,1191.2470588235294,1200.49611021875,-9.249051395220476,80.11129453263555,29,NFC,NFC West
Eagles,17,1189.8117647058823,1200.49611021875,-10.684345512867594,77.02490861638086,30,NFC,NFC East
Rams,17,1189.0235294117647,1200.49611021875,-11.472580806985206,75.32992618696244,31,NFC,NFC West
Seahawks,17,1186.4235294117648,1200.49611021875,-14.072580806985115,69.73901399440314,32,NFC,NFC West
