team,games,avg_opp_elo,league_avg_opp_elo,plus_minus_vs_avg,sos_index,rank,conference,division
Raiders,17,1234.0,1211.759375,22.24062499999991,131.53195793343488,1,AFC,AFC West
Saints,17,1227.635294117647,1211.759375,15.875919117646845,122.50830692807676,2,NFC,NFC South
Broncos,17,1225.5823529411766,1211.759375,13.822977941176532,119.59772079048942,3,AFC,AFC West
Chiefs,17,1223.9235294117648,1211.759375,12.164154411764684,117.24590047301153,4,AFC,AFC West
Falcons,17,1223.6000000000001,1211.759375,11.840625000000045,116.78721211321987,5,NFC,NFC South
Panthers,17,1222.2235294117647,1211.759375,10.464154411764639,114.83570163701475,6,NFC,NFC South
Colts,17,1221.7058823529412,1211.759375,9.946507352941126,114.10180026134795,7,AFC,AFC South
Buccaneers,17,1221.3411764705882,1211.759375,9.581801470588061,113.58473338303706,8,NFC,NFC South
Chargers,17,1220.2058823529412,1211.759375,8.446507352941126,111.97515422958614,9,AFC,AFC West
Steelers,17,1219.7058823529412,1211.759375,7.946507352941126,111.26627221899886,10,AFC,AFC North
Ravens,17,1219.2882352941178,1211.759375,7.528860294117749,110.67414724544972,11,AFC,AFC North
Browns,17,1214.0470588235294,1211.759375,2.287683823529278,103.24339581682281,12,AFC,AFC North
Bengals,17,1213.7941176470588,1211.759375,2.0347426470586925,102.88478491734926,13,AFC,AFC North
Cowboys,17,1213.6705882352942,1211.759375,1.911213235294099,102.70964936179257,14,NFC,NFC East
Commanders,17,1212.735294117647,1211.759375,0.9759191176469812,101.3836230125763,15,NFC,NFC East
Titans,17,1211.7,1211.759375,-0.059375000000045475,99.9158202612427,16,AFC,AFC South
Seahawks,17,1210.5941176470587,1211.759375,-1.165257352941353,98.34794004959066,17,NFC,NFC West
Rams,17,1210.535294117647,1211.759375,-1.2240808823530642,98.26454216599224,18,NFC,NFC West
Eagles,17,1210.3999999999999,1211.759375,-1.3593750000002274,98.07272703371554,19,NFC,NFC East
Giants,17,1208.894117647059,1211.759375,-2.865257352941171,95.93774121359421,20,NFC,NFC East
Jets,17,1207.5529411764708,1211.759375,-4.2064338235293235,94.03626946754846,21,AFC,AFC East
Dolphins,17,1207.1176470588234,1211.759375,-4.6417279411766685,93.41912512891915,22,AFC,AFC East
49ers,17,1205.8411764705882,1211.759375,-5.918198529411939,91.60939105483168,23,NFC,NFC West
Cardinals,17,1204.9705882352941,1211.759375,-6.7887867647059466,90.375102377574,24,NFC,NFC West
Bills,17,1204.4352941176471,1211.759375,-7.324080882352973,89.61618163682766,25,AFC,AFC East
Texans,17,1201.5823529411766,1211.759375,-10.177022058823468,85.57138428230043,26,AFC,AFC South
Patriots,17,1201.1117647058825,1211.759375,-10.647610294117612,84.90420121351238,27,AFC,AFC East
Bears,17,1200.5294117647059,1211.759375,-11.229963235294235,84.07856216588698,28,NFC,NFC North
Lions,17,1199.6000000000001,1211.759375,-12.159374999999955,82.76087560503089,29,NFC,NFC North
Jaguars,17,1197.6647058823528,1211.759375,-14.0946691176473,80.01708523463975,30,AFC,AFC South
Packers,17,1194.6705882352942,1211.759375,-17.0887867647059,75.7721329594763,31,NFC,NFC North
Vikings,17,1185.6411764705883,1211.759375,-26.118198529411757,62.970557827106205,32,NFC,NFC North
