team,games,avg_opp_elo,league_avg_opp_elo,plus_minus_vs_avg,sos_index,rank,conference,division
Browns,17,1242.6647058823528,1214.0652524310162,28.599453451336558,151.53972845559426,1,AFC,AFC North
Bengals,19,1229.0263157894738,1214.0652524310162,14.961063358457523,126.96167408282435,2,AFC,AFC North
Ravens,21,1226.695238095238,1214.0652524310162,12.62998566422175,122.76078571360307,3,AFC,AFC North
Steelers,17,1222.635294117647,1214.0652524310162,8.570041686630702,115.44426791699502,4,AFC,AFC North
Panthers,20,1220.8200000000002,1214.0652524310162,6.75474756898393,112.17288491487754,5,NFC,NFC South
49ers,17,1219.4764705882353,1214.0652524310162,5.411218157219082,109.75167986729548,6,NFC,NFC West
Cowboys,19,1219.136842105263,1214.0652524310162,5.071589674246752,109.13962761888577,7,NFC,NFC East
Broncos,18,1219.0055555555555,1214.0652524310162,4.940303124539241,108.9030331282494,8,AFC,AFC West
Seahawks,20,1218.185,1214.0652524310162,4.119747568983712,107.424291214946,9,NFC,NFC West
Saints,18,1216.8166666666666,1214.0652524310162,2.7514142356503726,104.95838645362818,10,NFC,NFC South
Patriots,19,1215.157894736842,1214.0652524310162,1.0926423058258479,101.96907566213392,11,AFC,AFC East
Raiders,18,1215.1166666666666,1214.0652524310162,1.051414235650327,101.89477761496283,12,AFC,AFC West
Giants,17,1214.4352941176471,1214.0652524310162,0.3700416866308842,100.66686057755116,13,NFC,NFC East
Jaguars,17,1214.2470588235294,1214.0652524310162,0.18180639251318098,100.3276374535466,14,AFC,AFC South
Bears,17,1213.9235294117648,1214.0652524310162,-0.14172301925145803,99.74459770916407,15,NFC,NFC North
Titans,19,1213.9157894736843,1214.0652524310162,-0.14946295733193438,99.73064938992049,16,AFC,AFC South
Chiefs,17,1213.5647058823529,1214.0652524310162,-0.5005465486633511,99.09795362903033,17,AFC,AFC West
Falcons,17,1213.370588235294,1214.0652524310162,-0.6946641957222255,98.74812978240064,18,NFC,NFC South
Chargers,17,1213.1705882352942,1214.0652524310162,-0.8946641957220436,98.38770521314623,19,AFC,AFC West
Buccaneers,17,1211.5588235294117,1214.0652524310162,-2.5064289016045223,95.48310721385785,20,NFC,NFC South
Texans,17,1211.229411764706,1214.0652524310162,-2.8358406663103324,94.88946674685018,21,AFC,AFC South
Cardinals,17,1208.5882352941176,1214.0652524310162,-5.477017136898667,90.12974228816245,22,NFC,NFC West
Colts,18,1208.5444444444445,1214.0652524310162,-5.520807986571754,90.05082579750885,23,AFC,AFC South
Jets,17,1208.370588235294,1214.0652524310162,-5.6946641957222255,89.73751555103225,24,AFC,AFC East
Eagles,17,1207.9058823529413,1214.0652524310162,-6.159370078074971,88.90005846364659,25,NFC,NFC East
Rams,18,1206.638888888889,1214.0652524310162,-7.426363542127319,86.61678059599842,26,NFC,NFC West
Dolphins,17,1206.4823529411765,1214.0652524310162,-7.582899489839747,86.33468358836276,27,AFC,AFC East
Packers,17,1206.1117647058825,1214.0652524310162,-7.953487725133755,85.66683806297918,28,NFC,NFC North
Vikings,17,1205.4176470588234,1214.0652524310162,-8.647605372192857,84.41595279321224,29,NFC,NFC North
Lions,19,1202.9526315789474,1214.0652524310162,-11.112620852068858,79.97369208050942,30,NFC,NFC North
Commanders,18,1202.5055555555555,1214.0652524310162,-11.559696875460759,79.1680061647337,31,NFC,NFC East
Bills,17,1202.4176470588234,1214.0652524310162,-11.647605372192857,79.0095842543912,32,AFC,AFC East
